#,Name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
696,Zweilous,72,85,70,65,70,58
697,Hydreigon,92,105,90,125,90,98
698,Larvesta,55,85,55,50,55,60
699,Volcarona,85,60,65,135,105,100
700,Cobalion,91,90,129,90,72,108
701,Terrakion,91,129,90,72,90,108
702,Virizion,91,90,72,90,129,108
703,Tornadus Incarnate Forme,79,115,70,125,80,111
704,Tornadus Therian Forme,79,100,80,110,90,121
705,Thundurus Incarnate Forme,79,115,70,125,80,111
706,Thundurus Therian Forme,79,105,70,145,80,101
707,Reshiram,100,120,100,150,120,90
708,Zekrom,100,150,120,120,100,90
709,Landorus Incarnate Forme,89,125,90,115,80,101
710,Landorus Therian Forme,89,145,90,105,80,91
711,Kyurem,125,130,90,130,90,95
712,Kyurem Black Kyurem,125,170,100,120,90,95
713,Kyurem White Kyurem,125,120,90,170,100,95
714,Keldeo Ordinary Forme,91,72,90,129,90,108
715,Keldeo Resolute Forme,91,72,90,129,90,108
716,Meloetta Aria Forme,100,77,77,128,128,90
717,Meloetta Pirouette Forme,100,128,90,77,77,128
718,Genesect,71,120,95,120,95,99
719,Chespin,56,61,65,48,45,38
720,Quilladin,61,78,95,56,58,57
721,Chesnaught,88,107,122,74,75,64
722,Fennekin,40,45,40,62,60,60
723,Braixen,59,59,58,90,70,73
724,Delphox,75,69,72,114,100,104
725,Froakie,41,56,40,62,44,71
726,Frogadier,54,63,52,83,56,97
727,Greninja,72,95,67,103,71,122
728,Bunnelby,38,36,38,32,36,57
729,Diggersby,85,56,77,50,77,78
730,Fletchling,45,50,43,40,38,62
731,Fletchinder,62,73,55,56,52,84
732,Talonflame,78,81,71,74,69,126
733,Scatterbug,38,35,40,27,25,35
734,Spewpa,45,22,60,27,30,29
735,Vivillon,80,52,50,90,50,89
736,Litleo,62,50,58,73,54,72
737,Pyroar,86,68,72,109,66,106
738,Flabébé,44,38,39,61,79,42
739,Floette,54,45,47,75,98,52
740,Florges,78,65,68,112,154,75
741,Skiddo,66,65,48,62,57,52
742,Gogoat,123,100,62,97,81,68
743,Pancham,67,82,62,46,48,43
744,Pangoro,95,124,78,69,71,58
745,Furfrou,75,80,60,65,90,102
746,Espurr,62,48,54,63,60,68
747,Meowstic Male,74,48,76,83,81,104
748,Meowstic Female,74,48,76,83,81,104
749,Honedge,45,80,100,35,37,28
750,Doublade,59,110,150,45,49,35
751,Aegislash Blade Forme,60,150,50,150,50,60
752,Aegislash Shield Forme,60,50,150,50,150,60
753,Spritzee,78,52,60,63,65,23
754,Aromatisse,101,72,72,99,89,29
755,Swirlix,62,48,66,59,57,49
756,Slurpuff,82,80,86,85,75,72
757,Inkay,53,54,53,37,46,45
758,Malamar,86,92,88,68,75,73
759,Binacle,42,52,67,39,56,50
760,Barbaracle,72,105,115,54,86,68
761,Skrelp,50,60,60,60,60,30
762,Dragalge,65,75,90,97,123,44
763,Clauncher,50,53,62,58,63,44
764,Clawitzer,71,73,88,120,89,59
765,Helioptile,44,38,33,61,43,70
766,Heliolisk,62,55,52,109,94,109
767,Tyrunt,58,89,77,45,45,48
768,Tyrantrum,82,121,119,69,59,71
769,Amaura,77,59,50,67,63,46
770,Aurorus,123,77,72,99,92,58
771,Sylveon,95,65,65,110,130,60
772,Hawlucha,78,92,75,74,63,118
773,Dedenne,67,58,57,81,67,101
774,Carbink,50,50,150,50,150,50
775,Goomy,45,50,35,55,75,40
776,Sliggoo,68,75,53,83,113,60
777,Goodra,90,100,70,110,150,80
778,Klefki,57,80,91,80,87,75
779,Phantump,43,70,48,50,60,38
780,Trevenant,85,110,76,65,82,56
781,Pumpkaboo Average Size,49,66,70,44,55,51
782,Pumpkaboo Small Size,44,66,70,44,55,56
783,Pumpkaboo Large Size,54,66,70,44,55,46
784,Pumpkaboo Super Size,59,66,70,44,55,41
785,Gourgeist Average Size,65,90,122,58,75,84
786,Gourgeist Small Size,55,85,122,58,75,99
787,Gourgeist Large Size,75,95,122,58,75,69
788,Gourgeist Super Size,85,100,122,58,75,54
789,Bergmite,55,69,85,32,35,28
790,Avalugg,95,117,184,44,46,28
791,Noibat,40,30,35,45,40,55
792,Noivern,85,70,80,97,80,123
793,Xerneas,126,131,95,131,98,99
794,Yveltal,126,131,95,131,98,99
795,Zygarde Half Forme,108,100,121,81,95,95
796,Diancie,50,100,150,100,150,50
797,Mega Diancie,50,160,110,160,110,110
798,Hoopa Confined,80,110,60,150,130,70
799,Hoopa Unbound,80,160,60,170,130,80
800,Volcanion,80,110,120,130,90,70
